mjd,datetime_str,RA,DEC,V,RA_rate,DEC_rate
56730.5,2014-Mar-14 12:00,96.54362,-6.36464,18.807,44.39855,20.43216
56731.5,2014-Mar-15 12:00,96.85355,-6.22947,18.826,45.49628,20.27099
56732.5,2014-Mar-16 12:00,97.17053,-6.09539,18.845,46.57176,20.09974
56733.5,2014-Mar-17 12:00,97.49441,-5.96245,18.863,47.62578,19.91887
56734.5,2014-Mar-18 12:00,97.82505,-5.83072,18.881,48.65918,19.72881
56735.5,2014-Mar-19 12:00,98.16231,-5.70027,18.899,49.67282,19.52988
56736.5,2014-Mar-20 12:00,98.50607,-5.57115,18.917,50.66762,19.32236
56737.5,2014-Mar-21 12:00,98.85621,-5.44341,18.935,51.64444,19.10645
56738.5,2014-Mar-22 12:00,99.2126,-5.31711,18.952,52.60411,18.88228
56739.5,2014-Mar-23 12:00,99.57515,-5.19231,18.969,53.54736,18.64994
56740.5,2014-Mar-24 12:00,99.94374,-5.06906,18.986,54.47482,18.40946
56741.5,2014-Mar-25 12:00,100.31828,-4.94742,19.003,55.38694,18.16085
56742.5,2014-Mar-26 12:00,100.69866,-4.82743,19.019,56.28398,17.90412
56743.5,2014-Mar-27 12:00,101.08479,-4.70916,19.035,57.16599,17.63929
56744.5,2014-Mar-28 12:00,101.47657,-4.59266,19.052,58.03278,17.36646
56745.5,2014-Mar-29 12:00,101.87389,-4.47798,19.067,58.88397,17.0858
56746.5,2014-Mar-30 12:00,102.27666,-4.36517,19.083,59.71908,16.7976
56747.5,2014-Mar-31 12:00,102.68477,-4.25429,19.099,60.53762,16.50223
56748.5,2014-Apr-01 12:00,103.09811,-4.14537,19.114,61.33917,16.20017
56749.5,2014-Apr-02 12:00,103.51656,-4.03847,19.129,62.12349,15.8919
56750.5,2014-Apr-03 12:00,103.94003,-3.93362,19.144,62.89052,15.57793
56751.5,2014-Apr-04 12:00,104.36838,-3.83086,19.158,63.64034,15.25873
56752.5,2014-Apr-05 12:00,104.80152,-3.73022,19.173,64.37317,14.93475
56753.5,2014-Apr-06 12:00,105.23933,-3.63173,19.187,65.08931,14.60637
56754.5,2014-Apr-07 12:00,105.68171,-3.53543,19.201,65.7891,14.27395
56755.5,2014-Apr-08 12:00,106.12855,-3.44134,19.215,66.47291,13.93781
56756.5,2014-Apr-09 12:00,106.57975,-3.34948,19.229,67.14112,13.59825
56757.5,2014-Apr-10 12:00,107.03521,-3.25987,19.243,67.79412,13.25555
